drive_id,proveedor,fecha_factura,descripcion_original,categoria,tipo_bebida,marca,formato,contenido,unidades,precio_unitario_eur,importe_eur,iva_pct
1SZuGG24DudRVSWBhfyhuHucTRyuzkatT,Miguel Merino Distribuciones SL,2026-07-21,"BALLANTINE`S 0,7L(6U)",bebida,alcohol,Ballantine's,botella,70cl,48.0,11.45,549.6,21.0
1SZuGG24DudRVSWBhfyhuHucTRyuzkatT,Miguel Merino Distribuciones SL,2026-07-21,"BEEFEATER GIN 0,7L(6U)",bebida,alcohol,Beefeater,botella,70cl,60.0,12.16,729.6,21.0
1SZuGG24DudRVSWBhfyhuHucTRyuzkatT,Miguel Merino Distribuciones SL,2026-07-21,"SEAGRAM`S GIN 0,7L(6U)",bebida,alcohol,Seagram's,botella,70cl,24.0,13.56,325.44,21.0
1SZuGG24DudRVSWBhfyhuHucTRyuzkatT,Miguel Merino Distribuciones SL,2026-07-21,"HAVANA RON AÑEJO ORIGEN 0,7L(6U)",bebida,alcohol,Havana Club,botella,70cl,42.0,10.32,433.44,21.0
1SZuGG24DudRVSWBhfyhuHucTRyuzkatT,Miguel Merino Distribuciones SL,2026-07-21,"ABSOLUT 0,7L(6U)",bebida,alcohol,Absolut,botella,70cl,48.0,11.51,552.48,21.0
1SZuGG24DudRVSWBhfyhuHucTRyuzkatT,Miguel Merino Distribuciones SL,2026-07-21,RED BULL ENERGY DRINK (24U),bebida,refresco,Red Bull,caja,24U,5.0,29.3,146.48,21.0
11ZoTYNY4ud-eSjsr9j8geke70qYGFRe_,Miguel Merino Distribuciones SL,2026-07-21,"OLMECA ALTOS REPOSADO TEQUILA 0,7L(6U)",bebida,alcohol,Olmeca Altos,botella,70cl,-6.0,21.64,-129.84,21.0
1GLrfJ18tTCHb-RorWxcoSI1TQjHZiO9q,Miguel Merino Distribuciones SL,2026-07-13,"BALLANTINE`S 0,7L(6U)",bebida,alcohol,Ballantine's,botella,70cl,48.0,11.45,549.6,21.0
1GLrfJ18tTCHb-RorWxcoSI1TQjHZiO9q,Miguel Merino Distribuciones SL,2026-07-13,"BALLANTINES 10 AÑOS 0,7L(6U)",bebida,alcohol,Ballantine's,botella,70cl,2.0,15.15,30.3,21.0
1qnBvM2fxHlk4DrZwe0FLkQky1VsdlJX6,Melgarejo Distribuidores de Bebidas SL,2026-07-07,FIANZA BARRIL 50 L,otros_consumo,,,barril,50L,-1.0,12.02,-12.02,21.0
1qnBvM2fxHlk4DrZwe0FLkQky1VsdlJX6,Melgarejo Distribuidores de Bebidas SL,2026-07-07,BARRIL CRUZCAMPO 50L,bebida,cerveza,Cruzcampo,barril,50L,1.0,168.0,168.0,21.0
1qnBvM2fxHlk4DrZwe0FLkQky1VsdlJX6,Melgarejo Distribuidores de Bebidas SL,2026-07-07,SEVEN FREE RET 200 CC,bebida,refresco,7Up,caja,200cl-bot 200ml retornable,4.0,23.28,65.18,21.0
1qnBvM2fxHlk4DrZwe0FLkQky1VsdlJX6,Melgarejo Distribuidores de Bebidas SL,2026-07-07,PEPSI MAX AXL RET 200CC,bebida,refresco,Pepsi,caja,bot 200ml retornable,4.0,24.96,64.9,21.0
1qnBvM2fxHlk4DrZwe0FLkQky1VsdlJX6,Melgarejo Distribuidores de Bebidas SL,2026-07-07,PEPSI REGULAR AXL RET 200 CC,bebida,refresco,Pepsi,caja,bot 200ml retornable,6.0,24.96,97.34,21.0
1qnBvM2fxHlk4DrZwe0FLkQky1VsdlJX6,Melgarejo Distribuidores de Bebidas SL,2026-07-07,CAJA C/BOT SEVEN-UP 200 CC,otros_consumo,,7Up,caja,envase retornable 200ml,-1.0,4.8,-4.8,21.0
1qnBvM2fxHlk4DrZwe0FLkQky1VsdlJX6,Melgarejo Distribuidores de Bebidas SL,2026-07-07,CAJA C/BOT  PEPSI 200 RET,otros_consumo,,Pepsi,caja,envase retornable 200ml,-3.0,4.8,-14.4,21.0
1qnBvM2fxHlk4DrZwe0FLkQky1VsdlJX6,Melgarejo Distribuidores de Bebidas SL,2026-07-07,CAJA C/BOT  SCHWEPPES 200 RET,otros_consumo,,Schweppes,caja,envase retornable 200ml,-4.0,5.2,-20.8,21.0
1qnBvM2fxHlk4DrZwe0FLkQky1VsdlJX6,Melgarejo Distribuidores de Bebidas SL,2026-07-07,SCH TONICA RET 28X1X200ML,bebida,refresco,Schweppes,caja,28x200ml,6.0,31.92,134.06,21.0
1qnBvM2fxHlk4DrZwe0FLkQky1VsdlJX6,Melgarejo Distribuidores de Bebidas SL,2026-07-07,SCH NARANJA LOW CAL RET 28X1X200,bebida,refresco,Schweppes,caja,28x200ml,4.0,26.04,62.5,21.0
1qnBvM2fxHlk4DrZwe0FLkQky1VsdlJX6,Melgarejo Distribuidores de Bebidas SL,2026-07-07,SCH LIMO LOW RET 28X200ML,bebida,refresco,Schweppes,caja,28x200ml,6.0,26.04,93.74,21.0
1qnBvM2fxHlk4DrZwe0FLkQky1VsdlJX6,Melgarejo Distribuidores de Bebidas SL,2026-07-07,FIANZA BARRIL 50 L,otros_consumo,,,barril,50L,1.0,12.02,12.02,21.0
1qnBvM2fxHlk4DrZwe0FLkQky1VsdlJX6,Melgarejo Distribuidores de Bebidas SL,2026-07-07,CAJA C/BOT SEVEN-UP 200 CC,otros_consumo,,7Up,caja,envase retornable 200ml,4.0,4.8,19.2,21.0
1qnBvM2fxHlk4DrZwe0FLkQky1VsdlJX6,Melgarejo Distribuidores de Bebidas SL,2026-07-07,CAJA C/BOT  PEPSI 200 RET,otros_consumo,,Pepsi,caja,envase retornable 200ml,10.0,4.8,48.0,21.0
1qnBvM2fxHlk4DrZwe0FLkQky1VsdlJX6,Melgarejo Distribuidores de Bebidas SL,2026-07-07,CAJA C/BOT  SCHWEPPES 200 RET,otros_consumo,,Schweppes,caja,envase retornable 200ml,16.0,5.2,83.2,21.0
1LLfVOz84rdHVzDf6gorXhBHwVGMPXdLZ,Makro,2026-07-10,BURRATA 125GX5 LAFUENTE,comida,,Lafuente,pack,5x125g,3.0,8.35,25.05,4.0
14FiJLMSbSWQE3dpYheVPSo_d7wpw8OoP,Makro,2026-07-11,PAN MOLDE SANDWICH MC 1KG,comida,,Makro Chef,bolsa,1kg,3.0,1.55,4.65,4.0
14FiJLMSbSWQE3dpYheVPSo_d7wpw8OoP,Makro,2026-07-11,MANTEQUILLA MC BQ 1KG,comida,,Makro Chef,bloque,1kg,1.0,9.21,9.21,10.0
14FiJLMSbSWQE3dpYheVPSo_d7wpw8OoP,Makro,2026-07-11,QSO VACA AHUM LONC 300G QUESAR,comida,,Quesar,bandeja,300g,2.0,3.39,6.78,4.0
14FiJLMSbSWQE3dpYheVPSo_d7wpw8OoP,Makro,2026-07-11,QSO HAVARTI LONCH ARLA 1KG (D),comida,,Arla,bandeja,1kg,1.0,16.19,16.19,4.0
14FiJLMSbSWQE3dpYheVPSo_d7wpw8OoP,Makro,2026-07-11,QSO CHEDDAR LONCH ROJO MC 1KG,comida,,Makro Chef,bandeja,1kg,1.0,8.4,8.4,4.0
14FiJLMSbSWQE3dpYheVPSo_d7wpw8OoP,Makro,2026-07-11,QSO BRIE BARRA R.PICOT 500G,comida,,Reny Picot,ud,500g,2.0,7.59,15.18,4.0
14FiJLMSbSWQE3dpYheVPSo_d7wpw8OoP,Makro,2026-07-11,GAZPACHO S/GLUTEN PET MC 1L,comida,,Makro Chef,botella,1L,1.0,2.99,2.99,10.0
14FiJLMSbSWQE3dpYheVPSo_d7wpw8OoP,Makro,2026-07-11,FIAMBRE SANDW LONCH 500G ALMIR,comida,,El Pozo,sobre,500g,2.0,2.69,5.38,10.0
14FiJLMSbSWQE3dpYheVPSo_d7wpw8OoP,Makro,2026-07-11,SOBRASADA EXT EL POZO 250G,comida,,El Pozo,tarrina,250g,2.0,1.85,3.7,10.0
14FiJLMSbSWQE3dpYheVPSo_d7wpw8OoP,Makro,2026-07-11,TOMATE C-GG MAD2/3 BJ,comida,,,kg,"1,442 kg",1.442,2.65,3.82,4.0
14FiJLMSbSWQE3dpYheVPSo_d7wpw8OoP,Makro,2026-07-11,PEPINIL.SAND.AGRID.B.CAM.370GN,comida,,,frasco,370g,2.0,3.09,6.18,10.0
14FiJLMSbSWQE3dpYheVPSo_d7wpw8OoP,Makro,2026-07-11,SSA TARTARA TUSCE 1KG,comida,,Tusce,bote,1kg,1.0,7.45,7.45,10.0
14FiJLMSbSWQE3dpYheVPSo_d7wpw8OoP,Makro,2026-07-11,BOLSA CAM REC 65X70 3UG200,otros_consumo,,,bolsa,65x70cm,1.0,0.89,0.89,21.0
14FiJLMSbSWQE3dpYheVPSo_d7wpw8OoP,Makro,2026-07-11,ABREBOTELLAS PLANO ARO 11CM,otros_consumo,,,ud,11cm,1.0,1.95,1.95,21.0
14FiJLMSbSWQE3dpYheVPSo_d7wpw8OoP,Makro,2026-07-11,ABREBOTELLAS ARO 8CM 10 UD,otros_consumo,,,pack,10 ud,1.0,3.95,3.95,21.0
14FiJLMSbSWQE3dpYheVPSo_d7wpw8OoP,Makro,2026-07-11,PINZA HIELO INOX MPRO 18CM X3,otros_consumo,,Metro Professional,pack,3 ud (18cm),2.0,3.95,7.9,21.0
14FiJLMSbSWQE3dpYheVPSo_d7wpw8OoP,Makro,2026-07-11,"CATAVINO SERVICE LINE 15,5CL",otros_consumo,,Service Line,pack,"24x15,5cl",1.0,16.99,16.99,21.0
14FiJLMSbSWQE3dpYheVPSo_d7wpw8OoP,Makro,2026-07-11,"VASO CHUPITO SHOT MPRO 3,4CLX6",otros_consumo,,Metro Professional,pack,"6x3,4cl",2.0,4.65,9.3,21.0
14FiJLMSbSWQE3dpYheVPSo_d7wpw8OoP,Makro,2026-07-11,COPA CAVA AVEIRO MPRO20CLX6,otros_consumo,,Metro Professional,caja,6x20cl,3.0,16.5,49.5,21.0
1DvihecLMfKRrR9WYJq7NJd3kGVc_Rm4Z,Makro,2026-07-07,MIX GOURMET RIOBA 20GX50,comida,,Rioba,caja,50x20g,1.0,7.29,7.29,4.0
1DvihecLMfKRrR9WYJq7NJd3kGVc_Rm4Z,Makro,2026-07-07,"CEBOLLA ROJA MC C-60/80 1 KG (Lote 01465, Origen Netherlands)",comida,,Makro Chef,malla,1 kg,1.0,1.85,1.85,4.0
1DvihecLMfKRrR9WYJq7NJd3kGVc_Rm4Z,Makro,2026-07-07,"CEBOLLA ROJA MC C-60/80 1 KG (Lote 01756, Origen Spain)",comida,,Makro Chef,malla,1 kg,1.0,1.85,1.85,4.0
1DvihecLMfKRrR9WYJq7NJd3kGVc_Rm4Z,Makro,2026-07-07,APIO DEL TERRENO BL 500 GR,comida,,,bolsa,500 g,1.0,1.35,1.35,4.0
1DvihecLMfKRrR9WYJq7NJd3kGVc_Rm4Z,Makro,2026-07-07,GERMINADOS RABANITOS ROSAS 90G,comida,,,bandeja,90 g,2.0,2.39,4.78,4.0
1DvihecLMfKRrR9WYJq7NJd3kGVc_Rm4Z,Makro,2026-07-07,RABANITOS TA 500 GR,comida,,,tarrina,500 g,1.0,2.59,2.59,4.0
1DvihecLMfKRrR9WYJq7NJd3kGVc_Rm4Z,Makro,2026-07-07,CHERRY ATIGRADO MC C-M TA 500G,comida,,Makro Chef,tarrina,500 g,3.0,2.05,6.15,4.0
1DvihecLMfKRrR9WYJq7NJd3kGVc_Rm4Z,Makro,2026-07-07,TOMATE BEEF MC C-GG MAD4/5 BJ,comida,,Makro Chef,kg,"1,188 kg (3,05 EUR/kg)",1.0,3.62,3.62,4.0
1DvihecLMfKRrR9WYJq7NJd3kGVc_Rm4Z,Makro,2026-07-07,TOMATE BEEF MC C-GG MAD4/5 BJ,comida,,Makro Chef,kg,"1,217 kg (3,05 EUR/kg)",1.0,3.71,3.71,4.0
1DvihecLMfKRrR9WYJq7NJd3kGVc_Rm4Z,Makro,2026-07-07,RUCULA SELVATICA MC BL 250G,comida,,Makro Chef,bolsa,250 g,1.0,2.75,2.75,4.0
1DvihecLMfKRrR9WYJq7NJd3kGVc_Rm4Z,Makro,2026-07-07,CANONIGOS MC TA 400G,comida,,Makro Chef,tarrina,400 g,1.0,4.99,4.99,4.0
1DvihecLMfKRrR9WYJq7NJd3kGVc_Rm4Z,Makro,2026-07-07,TOMATE RALLADO MC BT 500 ML,comida,,Makro Chef,bote,500 ml,2.0,3.15,6.3,10.0
1DvihecLMfKRrR9WYJq7NJd3kGVc_Rm4Z,Makro,2026-07-07,GUACAMOLE SUAVE MC TA 1 KG,comida,,Makro Chef,tarrina,1 kg,1.0,7.19,7.19,10.0
1DvihecLMfKRrR9WYJq7NJd3kGVc_Rm4Z,Makro,2026-07-07,LIMON BOTE 1 LITRO,comida,,,bote,1 L,1.0,5.15,5.15,10.0
1DvihecLMfKRrR9WYJq7NJd3kGVc_Rm4Z,Makro,2026-07-07,ENSALAD PMTO PIQ ALSUR 1500GNE,comida,,Alsur,lata,1500 g neto escurrido,2.0,10.75,21.5,10.0
1DvihecLMfKRrR9WYJq7NJd3kGVc_Rm4Z,Makro,2026-07-07,PATATA PARIS BRICKC LT 1650GNE,comida,,,lata,1650 g neto escurrido,1.0,10.05,10.05,10.0
1DvihecLMfKRrR9WYJq7NJd3kGVc_Rm4Z,Makro,2026-07-07,PMTO PIQ 60-80 MC LT 1900GNE,comida,,Makro Chef,lata,1900 g neto escurrido,1.0,11.05,11.05,10.0
1DvihecLMfKRrR9WYJq7NJd3kGVc_Rm4Z,Makro,2026-07-07,PEPINILLO S/ANCH MC FC 1100GNE,comida,,Makro Chef,frasco,1100 g neto escurrido,1.0,7.39,7.39,10.0
1DvihecLMfKRrR9WYJq7NJd3kGVc_Rm4Z,Makro,2026-07-07,ALTRAMUCES SALADITOS BO 810GNE,comida,,,bote,810 g neto escurrido,1.0,2.79,2.79,10.0
1DvihecLMfKRrR9WYJq7NJd3kGVc_Rm4Z,Makro,2026-07-07,PIPARRA MC FR 700GNE,comida,,Makro Chef,frasco,700 g neto escurrido,1.0,11.95,11.95,10.0
1DvihecLMfKRrR9WYJq7NJd3kGVc_Rm4Z,Makro,2026-07-07,CEBOLLITA VINAG. MC FR FR 1100,comida,,Makro Chef,frasco,1100 g,1.0,5.39,5.39,10.0
1DvihecLMfKRrR9WYJq7NJd3kGVc_Rm4Z,Makro,2026-07-07,ACEI.RELL ANCH EXCEL.LT 2000GN,comida,,,lata,2000 g neto,1.0,19.55,19.55,10.0
1DvihecLMfKRrR9WYJq7NJd3kGVc_Rm4Z,Makro,2026-07-07,ACEI MAN FI S-NAT MC LT2500GNE,comida,,Makro Chef,lata,2500 g neto escurrido,1.0,14.54,14.54,10.0
1DvihecLMfKRrR9WYJq7NJd3kGVc_Rm4Z,Makro,2026-07-07,AOVE COOSUR 750ML,comida,,Coosur,botella,750 ml,1.0,6.25,6.25,4.0
1DvihecLMfKRrR9WYJq7NJd3kGVc_Rm4Z,Makro,2026-07-07,WASABI POLVO FANYA 35G,comida,,Fanya,lata,35 g,3.0,2.45,7.35,10.0
1DvihecLMfKRrR9WYJq7NJd3kGVc_Rm4Z,Makro,2026-07-07,SNACK ALGAS SEA FRIEND 5GX3,comida,,Sea Friend,paquete,3x5 g,1.0,2.05,2.05,10.0
1DvihecLMfKRrR9WYJq7NJd3kGVc_Rm4Z,Makro,2026-07-07,MAYOWASABI RIOBA BIBERON 300ML,comida,,Rioba,biberon,300 ml,1.0,2.95,2.95,10.0
1DvihecLMfKRrR9WYJq7NJd3kGVc_Rm4Z,Makro,2026-07-07,"MAYONESA YBARRA 1,8L",comida,,Ybarra,cubo,"1,8 L",1.0,8.89,8.89,10.0
1DvihecLMfKRrR9WYJq7NJd3kGVc_Rm4Z,Makro,2026-07-07,PATATAS FRITAS MADRILEÑA 1KG,comida,,La Madrileña,bolsa,1 kg,3.0,5.43,16.29,10.0
1DvihecLMfKRrR9WYJq7NJd3kGVc_Rm4Z,Makro,2026-07-07,COMPRA MÁS PAGA MENOS (descuento promocional patatas fritas),comida,,,,,1.0,-0.66,-0.66,10.0
1DvihecLMfKRrR9WYJq7NJd3kGVc_Rm4Z,Makro,2026-07-07,B.BAS NEG ARO 85X105 100L 10U,otros_consumo,,Aro,rollo,"4x10 uds, 100L, 85x105 cm",1.0,5.99,5.99,21.0
1DvihecLMfKRrR9WYJq7NJd3kGVc_Rm4Z,Makro,2026-07-07,B.BAS ASEO BCA MPRO 10L 40UD,otros_consumo,,Makro Professional,paquete,"40 uds, 10L",1.0,2.35,2.35,21.0
1DvihecLMfKRrR9WYJq7NJd3kGVc_Rm4Z,Makro,2026-07-07,BOLSA CAM REC 65X70 3UG200,otros_consumo,,,paquete,"65x70 cm, G200",1.0,0.89,0.89,21.0
1DvihecLMfKRrR9WYJq7NJd3kGVc_Rm4Z,Makro,2026-07-07,PAPELERA T/BASCULANTE TH 9L,otros_consumo,,,ud,9L,2.0,6.95,13.9,21.0
1QlBrd7Z_eZ9Q1FOf3K_uuuPJLIyw2cun,Makro,2026-07-08,PAN MOLD TRAMEZZINO MC 1KG,comida,,Makro Chef,paquete,1kg,1.0,6.25,6.25,4.0
1QlBrd7Z_eZ9Q1FOf3K_uuuPJLIyw2cun,Makro,2026-07-08,MOZZ FRSCA 8UD 1KG LAFUENTE,comida,,Lafuente,caja,1kg (8ud),3.0,8.85,26.55,4.0
1QlBrd7Z_eZ9Q1FOf3K_uuuPJLIyw2cun,Makro,2026-07-08,PULLED PORK BBQ BL 550G TULIP,comida,,Tulip,bolsa,550g,3.0,7.75,23.25,10.0
1QlBrd7Z_eZ9Q1FOf3K_uuuPJLIyw2cun,Makro,2026-07-08,ZURRAPA LOMO ICARBEN TA 500G,comida,,Icarben,tarro,500g,3.0,5.55,16.65,10.0
