bank,raw_tx_id,booking_date,amount_eur,concept,category,cat_method,nota
santander,bc339747bc5f6764,2026-07-27,-136.71,"Recibo Mapfre Vida S.a, Concepto: Rec:8819623067 Pol:0622000.0000.000000 Del 17.07.26 Al 01.01.27 Nif:b22859946 117-colect. Riesgo Renovatemporal Anual Renovabl Tef:900810852",Costes Fijos,user,
santander,4202ee629aa98e7c,2026-07-28,-5000.0,Transferencia A Favor De Mantec Concepto: Pago Aires 2,Obra,user,
santander,edd54c710ea3faeb,2026-07-28,-10000.0,Transferencia A Favor De Mantec Concepto: Pago Final Aires 1,Obra,user,
santander,f819635179ef6512,2026-07-29,-5000.0,Transferencia A Favor De Aycoa Concepto: Deuda Sonido,Sonido/Luces,user,
santander,7ec5c4a58c90b687,2026-07-30,-500.0,"Pago Movil En Jamones La Enci, El Puerto De Es, Tarj. :*565836",COGS,user,
santander,56face14b9fd0b8b,2026-07-30,-500.0,"Pago Movil En Jamones La Enci, El Puerto De Es, Tarj. :*565836",COGS,user,
caixa,76f5ffcb871dcedf,2026-07-31,40059.78,TRANSF. A SU FAVOR,IVA (REDEME),user,
santander,71fab6eacf7bc15e,2026-07-31,-1.15,"Pago Movil En El Jamon 197, Pto Sta Mariaes, Tarj. :*565836",COGS,user,
santander,af5c03a80a641a8e,2026-08-03,-44.7,"Pago Movil En El Jamon 197, Pto Sta Mariaes, Tarj. :*565836",COGS,user,
santander,03fa9186c11c4fb7,2026-08-03,-217.0,Transferencia A Favor De Álvaro Gómez Concepto: Devolución,Ingresos,user,
caixa,9751f0fc6fbc6379,2026-08-04,-269.12,DEPOSITOS DE CUEN,Financiero,user,
santander,10f027139d5aafc1,2026-08-04,-1531.0,Transferencia A Favor De Hielos Concepto: Hielos,COGS,user,
santander,01b58e860c5c0369,2026-08-04,-200.0,Disposicion Efectivo En Oficina 7343 En Concepto De Cambio,Personal,user,
santander,392798c787ff2039,2026-08-04,-387.42,"Recibo Mapfre, Concepto: Recibo:8814438584 Poliza:0962600015510 Del 06072026 Al 06072027 Nif:b22859946 Seguro De R. 934a Bares, Cafeterias, Pubs, Resttef:900822822",Costes Fijos,user,
santander,6256addd79037dcb,2026-08-04,-10000.0,Transferencia A Favor De Merino Concepto: Pago Merino,COGS,user,
caixa,811254541143fa6a,2026-08-05,-3000.0,devolucion presta,Préstamo socios,user,
caixa,f4f45a7dba597918,2026-08-05,7000.0,TRANSFER INMEDIATA,Movimiento entre cuentas,user,
caixa,c839969820364dca,2026-08-05,-40.57,COCA COLA EUROPAC,COGS,user,
santander,ec8af2075cf3db1a,2026-08-05,2.25,Bonificacion A Clientes,Financiero,user,
santander,2ce72b1874277e71,2026-08-05,-1062.0,"Pago Movil En Jamones La Enci, El Puerto De Es, Tarj. :*565836",COGS,user,
santander,5f0dbd66907192e3,2026-08-05,-8591.0,Transferencia A Favor De Stima Concepto: Pago Arquitecto,Arquitectos,user,
santander,832e857b2edfb137,2026-08-05,-11214.8,Transferencia A Favor De Mantec Concepto: Pago Aire,Obra,user,
santander,8120b779de0c7405,2026-08-05,-290.0,Disposicion Efectivo En Oficina 7343 En Concepto De Cambio,Personal,user,
santander,6e5ba2a873028231,2026-08-06,-7263.56,"Recibo Melgarejo Distribuidores De Bebidas S.l Nº Recibo 0049 7343 755 Bbdjlcx Ref. Mandato 6445es4700497343712310017971, De",COGS,user,
santander,c73da9067e2b9351,2026-08-06,-4088.04,"Recibo Melgarejo Distribuidores De Bebidas S.l Nº Recibo 0049 7343 755 Bbdjlcw Ref. Mandato 6445es4700497343712310017971, De",COGS,user,
santander,e4604822183be2ef,2026-08-06,-5740.43,"Recibo Melgarejo Distribuidores De Bebidas S.l Nº Recibo 0049 7343 755 Bbdjlcv Ref. Mandato 6445es4700497343712310017971, De",COGS,user,
santander,13f61867fa4a547c,2026-08-06,-121.97,"Recibo Multiservicios Mapfre S.a. Nº Recibo 0049 7343 755 Bbdjkxb Ref. Mandato 0261c1190509, De",Costes Fijos,user,
santander,b72100b11e6ec676,2026-08-06,-2.27,"Pago Movil En El Jamon 197, Pto Sta Mariaes, Tarj. :*565836",COGS,user,
santander,51966174b328ebe9,2026-08-10,-21.21,"Pago Movil En Market Urb. El, Aguila Caminoes, Tarj. :*565836",COGS,user,
santander,eb58ca6c55ccf578,2026-08-10,-242.0,"Pago Movil En Reparaciones 24, El Puerto De Es, Tarj. :*565836",Gastos extra actividad,user,
santander,59bee3c3001b0eea,2026-08-10,-786.5,"Pago Movil En Reparaciones 24, El Puerto De Es, Tarj. :*565836",Gastos extra actividad,user,
santander,f2d6b470d32fc6e8,2026-08-11,-70.0,Disposicion Efectivo En Oficina 7343 En Concepto De Cambio,Personal,user,
santander,70cfc19035c2364c,2026-08-11,-3500.0,Disposicion Efectivo En Oficina 7343,Personal,user,
santander,7c8298f5442700f6,2026-08-11,-1211.36,"Recibo Distribuciones Dilaso S.l. Nº Recibo 0049 7343 755 Bbdjmgs Ref. Mandato B22859946, De",COGS,user,
santander,a123dcf6199441b1,2026-08-11,-2465.71,"Recibo Miguel Merino Distribuciones S Nº Recibo 0049 7343 755 Bbdjmbv Ref. Mandato 43000672668nuevoes470049734371231, De",COGS,user,
santander,49d1fe90e5077f71,2026-08-11,-354.48,"Recibo Miguel Merino Distribuciones S Nº Recibo 0049 7343 755 Bbdjmbt Ref. Mandato 43000672668nuevoes470049734371231, De",COGS,user,
santander,27f20b85b5033e4c,2026-08-11,-657.03,"Recibo Miguel Merino Distribuciones S Nº Recibo 0049 7343 755 Bbdjmbs Ref. Mandato 43000672668nuevoes470049734371231, De",COGS,user,
santander,17c70b073d5d5ae0,2026-08-11,-9.66,"Recibo Mapfre, Concepto: Recibo:8823763101 Poliza:0742680123590 Del 07082026 Al 07012027 Nif:b22859946 Multirriesgo Segun Consta En Poliza Tef:900822822",Costes Fijos,user,
santander,ee66dfef364198bf,2026-08-12,-33.0,"Pago Movil En M2 Milca Evento, Jerez De La Fes, Tarj. :*565836",Gastos extra actividad,user,
santander,91a6405a8f1fa9a9,2026-08-12,-64.33,Transferencia A Favor De Berlys Concepto: Pan Berlys,COGS,user,
santander,d85673938540af32,2026-08-12,-146.4,Transferencia A Favor De Berlys Concepto: Berlys Pan,COGS,user,
santander,5c60c33522d1958e,2026-08-12,-1751.0,Transferencia A Favor De Mellis Hielos Concepto: Hielos,COGS,user,
santander,8a3ce51b9513f359,2026-08-13,-349.02,"Recibo Miguel Merino Distribuciones S Nº Recibo 0049 7343 755 Bbdjmrh Ref. Mandato 43000672668nuevoes470049734371231, De",COGS,user,
santander,8d31f6fe2d361a9d,2026-08-13,-1872.46,"Recibo Miguel Merino Distribuciones S Nº Recibo 0049 7343 755 Bbdjmrg Ref. Mandato 43000672668nuevoes470049734371231, De",COGS,user,
santander,628b690b4ce78e6b,2026-08-13,-179.28,"Recibo Coca Cola Europacific Partners Iberia,sl Nº Recibo 0049 7343 755 Bbdjmrc Ref. Mandato 001924196400, De",COGS,ambiguous_resolved,
santander,372a830395121513,2026-08-13,-2203.34,"Recibo Melgarejo Distribuidores De Bebidas S.l Nº Recibo 0049 7343 755 Bbdjmmw Ref. Mandato 6445es4700497343712310017971, De",COGS,user,
santander,b397a43b867ca0fd,2026-08-13,-5535.92,"Recibo Melgarejo Distribuidores De Bebidas S.l Nº Recibo 0049 7343 755 Bbdjmmv Ref. Mandato 6445es4700497343712310017971, De",COGS,user,
santander,c623f7cdfc4f99d5,2026-08-17,-410.0,Disposicion Efectivo En Oficina 7343,Personal,user,
santander,5871fb2a99b032a3,2026-08-17,-7500.0,Disposicion Efectivo En Oficina 7343,Personal,user,
santander,2449b8aa512e835d,2026-08-17,-1003.96,"Recibo Coca Cola Europacific Partners Iberia,sl Nº Recibo 0049 7343 755 Bbdjngb Ref. Mandato 001924196400, De",COGS,ambiguous_resolved,
santander,4b9e60a2b6389b06,2026-08-17,-1138.42,"Recibo Miguel Merino Distribuciones S Nº Recibo 0049 7343 755 Bbdjnfq Ref. Mandato 43000672668nuevoes470049734371231, De",COGS,user,
santander,e910667e0912745c,2026-08-17,-373.77,"Recibo Miguel Merino Distribuciones S Nº Recibo 0049 7343 755 Bbdjnfp Ref. Mandato 43000672668nuevoes470049734371231, De",COGS,user,
santander,d410b2c48c0e4343,2026-08-17,-1895.88,"Recibo Miguel Merino Distribuciones S Nº Recibo 0049 7343 755 Bbdjnfn Ref. Mandato 43000672668nuevoes470049734371231, De",COGS,user,
santander,bacec62613fdd50d,2026-08-17,-1795.35,"Recibo Ipasur Licores Y Vinos S.l, Concepto: Factura 534-603-666",COGS,user,
santander,1b688f65a12271f0,2026-08-18,-10233.29,"Recibo Melgarejo Distribuidores De Bebidas S.l Nº Recibo 0049 7343 755 Bbdjnsh Ref. Mandato 6445es4700497343712310017971, De",COGS,user,
santander,32fe1dbd8d0eaa98,2026-08-19,-2398.22,"Recibo Miguel Merino Distribuciones S Nº Recibo 0049 7343 755 Bbdjnxq Ref. Mandato 43000672668nuevoes470049734371231, De",COGS,user,
santander,3cd6ff81d0c45954,2026-08-19,-2636.48,"Recibo Miguel Merino Distribuciones S Nº Recibo 0049 7343 755 Bbdjnxp Ref. Mandato 43000672668nuevoes470049734371231, De",COGS,user,
santander,fd5103127ba5df40,2026-08-20,-9420.95,2026iva Autoliquidacion.,Impuestos,user,
santander,7f6f68543a4c8abd,2026-08-20,-354.48,"Recibo Miguel Merino Distribuciones S Nº Recibo 0049 7343 755 Bbdjpff Ref. Mandato 43000672668nuevoes470049734371231, De",COGS,user,
santander,ae663d140c5469e9,2026-08-20,-247.2,Transferencia A Favor De Francisco Ruiz Concepto: Pago Dj,DJs / Programación,user,
santander,95778692ca8c8d6f,2026-08-20,-774.4,Transferencia A Favor De Adrián León Concepto: Pago Dj,DJs / Programación,user,
santander,e2df14f370a752d7,2026-08-21,-39.88,Retroc. Según Expediente 307235262-cio 48628614. Mail Info. Remitido A,Financiero,user,
santander,83738f065fa2b1c4,2026-08-21,-1174.41,"Recibo Coca Cola Europacific Partners Iberia,sl Nº Recibo 0049 7343 755 Bbdjplk Ref. Mandato 001924196400, De",COGS,ambiguous_resolved,
santander,4a069dd5cbdcfa29,2026-08-21,-717.0,"Recibo Coca Cola Europacific Partners Iberia,sl Nº Recibo 0049 7343 755 Bbdjplj Ref. Mandato 001924196400, De",COGS,ambiguous_resolved,
santander,260d568bb96badc1,2026-08-24,-1011.61,"Recibo Coca Cola Europacific Partners Iberia,sl Nº Recibo 0049 7343 755 Bbdjpqy Ref. Mandato 001924196400, De",COGS,ambiguous_resolved,
santander,897f675111c89fff,2026-08-24,-2081.2,"Recibo Distribuciones Dilaso S.l. Nº Recibo 0049 7343 755 Bbdjpbx Ref. Mandato B22859946, De",COGS,user,
santander,2fd7f9237124cbbe,2026-08-24,-2037.2,Transferencia A Favor De Hielos Express Concepto: Enviado Por Banco Santander,COGS,user,
santander,cbf06dc99d4d1788,2026-08-24,-387.1,Transferencia A Favor De Marina Aguilar Concepto: Pago Dj,DJs / Programación,user,
santander,b897ae878a3e35dc,2026-08-24,-464.52,Transferencia A Favor De Lucas Haurie Concepto: Pago Dj,DJs / Programación,user,
santander,8a15beccb8c1654a,2026-08-25,-6823.97,"Recibo Melgarejo Distribuidores De Bebidas S.l Nº Recibo 0049 7343 755 Bbdjqcr Ref. Mandato 6445es4700497343712310017971, De",COGS,user,
santander,65523e6137102a35,2026-08-25,-3720.51,"Recibo Miguel Merino Distribuciones S Nº Recibo 0049 7343 755 Bbdjpzc Ref. Mandato 43000672668nuevoes470049734371231, De",COGS,user,
santander,22e4b040f624d95d,2026-08-25,-4224.4,"Recibo Miguel Merino Distribuciones S Nº Recibo 0049 7343 755 Bbdjpzb Ref. Mandato 43000672668nuevoes470049734371231, De",COGS,user,
santander,93778e089cd14915,2026-08-26,-190.0,Disposicion Efectivo En Oficina 7343 En Concepto De Cambio,Personal,user,
santander,4a67670951bb68ae,2026-08-26,500.0,Ingreso En Efectivo De Ybarra Navarrete Francisco De Borja  En Suc. 0049 7343,Movimiento entre cuentas,user,
santander,464d05ce670a7736,2026-08-27,-2713.29,"Recibo Miguel Merino Distribuciones S Nº Recibo 0049 7343 755 Bbdjqnd Ref. Mandato 43000672668nuevoes470049734371231, De",COGS,user,
santander,fc2cd1085a2514c5,2026-08-27,-708.73,"Recibo Coca Cola Europacific Partners Iberia,sl Nº Recibo 0049 7343 755 Bbdjqmz Ref. Mandato 001924196400, De",COGS,ambiguous_resolved,
